,lat,lng
0,12.5685,55.7077
1,12.5684,55.7079
2,12.5683,55.7081
3,12.5682,55.7083
4,12.5681,55.7086
5,12.568,55.7088
6,12.568,55.7089
7,12.569,55.682
8,12.5684,55.6822
9,12.5696,55.6832
12,12.5697,55.6833
13,12.5901,55.7026
15,12.5899,55.703
16,12.6005,55.6686
17,12.6006,55.6686
18,12.6019,55.6685
19,12.6028,55.6684
20,12.6029,55.6684
21,12.6039,55.6683
22,12.5811,55.6987
24,12.5808,55.6991
25,12.6114,55.6666
26,12.6119,55.6667
27,12.4993,55.6879
28,12.4991,55.6879
29,12.4988,55.6879
30,12.4985,55.6879
31,12.4981,55.6879
32,12.4976,55.688
34,12.4972,55.688
35,12.4967,55.688
36,12.4965,55.688
37,12.4962,55.6881
38,12.4959,55.6881
39,12.4956,55.6881
40,12.4955,55.6881
41,12.4951,55.6881
42,12.495,55.6881
44,12.4949,55.6881
45,12.4946,55.6881
46,12.4943,55.6882
47,12.4939,55.6882
48,12.4936,55.6882
51,12.493,55.6882
53,12.4929,55.6882
54,12.5698,55.6834
55,12.5704,55.6838
56,12.5704,55.6839
57,12.577,55.6778
58,12.5769,55.6777
61,12.5771,55.6776
62,12.5771,55.6775
63,12.5772,55.6774
64,12.5699,55.6926
65,12.5709,55.6932
67,12.5721,55.6939
68,12.5727,55.6946
69,12.5626,55.6874
70,12.5638,55.6883
72,12.5648,55.689
74,12.6074,55.6614
75,12.6075,55.6613
76,12.6076,55.6612
78,12.6077,55.6611
79,12.6078,55.6611
81,12.608,55.661
82,12.6087,55.6605
83,12.6089,55.6604
85,12.609,55.6603
87,12.6091,55.6603
89,12.6096,55.66
90,12.6099,55.6599
93,12.6101,55.6598
94,12.6103,55.6596
95,12.4918,55.6896
96,12.4917,55.6896
98,12.4911,55.6897
100,12.4907,55.6896
101,12.4901,55.6895
103,12.4891,55.6894
104,12.4995,55.6879
105,12.4995,55.688
107,12.4991,55.6883
108,12.4984,55.6888
109,12.4983,55.6889
110,12.4978,55.6893
111,12.4976,55.6895
112,12.4975,55.6895
113,12.5552,55.6676
114,12.5552,55.6675
115,12.5554,55.6673
116,12.5558,55.6669
117,12.5559,55.6668
118,12.5561,55.6666
119,12.5563,55.6664
120,12.5566,55.6661
121,12.5568,55.6658
122,12.5549,55.6901
123,12.5547,55.6899
124,12.5546,55.6898
125,12.5544,55.6896
126,12.5764,55.665
127,12.5765,55.6647
128,12.5765,55.6644
129,12.5766,55.664
130,12.5766,55.6639
131,12.5766,55.6638
132,12.5767,55.6635
133,12.5769,55.6629
134,12.4882,55.6883
135,12.4881,55.6884
