name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
VIK Rengøring,55.70881,12.569768,"['point_of_interest', 'establishment']"
IP-Support.dk Computerværksted,55.70809879999999,12.5730034,"['point_of_interest', 'establishment']"
Vintage 199,55.70805559999999,12.5708333,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Kan Rep Låse,55.7083385,12.5699623,"['locksmith', 'point_of_interest', 'establishment']"
Danmarks Unge Katoliker,55.7081354,12.567023,"['point_of_interest', 'establishment']"
Wood Entreprise,55.708189,12.57132,"['point_of_interest', 'establishment']"
Laila Hansen Interieur,55.70782389999999,12.5716263,"['general_contractor', 'point_of_interest', 'establishment']"
Sig Logik Aps,55.70847670000001,12.5711899,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']"
Villingshøj & Messerschmidt,55.7086704,12.569332,"['general_contractor', 'point_of_interest', 'establishment']"
Andelsboligforeningen Sct. Kjeldsgade,55.7075616,12.5679011,"['point_of_interest', 'establishment']"
"Atelier Tina Hee, artist",55.70865599999999,12.5698019,"['art_gallery', 'point_of_interest', 'establishment']"
Carin Faaborg,55.707698,12.570909,"['point_of_interest', 'establishment']"
AT7 Design,55.708378,12.567945,"['point_of_interest', 'establishment']"
No5 Frisør v/Paula Hofmman,55.7083962,12.5700018,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']"
Sidse Wernberg,55.708156,12.568466,"['point_of_interest', 'establishment']"
Lægerne Swane Lund&Billekop I/S,55.708392,12.569143,"['point_of_interest', 'establishment']"
Bennung ApS,55.708167,12.569933,"['point_of_interest', 'establishment']"
Benjamin Sanitet & Entrepriser ApS,55.70820399999999,12.5680251,"['point_of_interest', 'establishment']"
København Ø,55.7096303,12.5768655,"['sublocality_level_1', 'sublocality', 'political']"
Lars Hoffmann Games,55.707562,12.567901,"['health', 'point_of_interest', 'establishment']"
Simon Fensholm Illustration,55.70865599999999,12.5698019,"['point_of_interest', 'establishment']"
Anne Lorenzen Kunst & Kursus,55.70865599999999,12.5698019,"['point_of_interest', 'establishment']"
Exima Aps,55.7088245,12.5688453,"['point_of_interest', 'establishment']"
Farveladeland.DK v/Steen Berg Hansen,55.70881,12.569768,"['point_of_interest', 'establishment']"
ArtRoom8,55.708707,12.570221,"['point_of_interest', 'establishment']"
The city's Carpet and Flooring,55.70896399999999,12.569735,"['home_goods_store', 'general_contractor', 'point_of_interest', 'store', 'establishment']"
Nauticeasy,55.70886099999999,12.570187,"['point_of_interest', 'establishment']"
Krejl & Coffee,55.70808400000001,12.5709527,"['cafe', 'food', 'point_of_interest', 'establishment']"
Iron Inc.,55.7090932,12.5694386,"['point_of_interest', 'establishment']"
Andreas Larsen,55.708979,12.57015,"['point_of_interest', 'establishment']"
Sankt Augustins Kirke,55.70741890000001,12.5670068,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Hox,55.7082154,12.5714571,"['hair_care', 'point_of_interest', 'establishment']"
Andelsboligforeningen Venneminde,55.70945529999999,12.5695725,"['local_government_office', 'point_of_interest', 'establishment']"
Studio Tine Mouritsen,55.70985200000001,12.568229,"['point_of_interest', 'establishment']"
Vestergaard Productions,55.7094818,12.5690835,"['point_of_interest', 'establishment']"
SweetStreet - Book kaffe- og dessertvogne til dit arrangement,55.7093876,12.5700442,"['food', 'point_of_interest', 'establishment']"
Deas A/S,55.70773,12.5717075,"['point_of_interest', 'establishment']"
Seaton.dk,55.7073836,12.5659454,"['point_of_interest', 'establishment']"
Karin Falck's Køkken & Catering,55.7072913,12.5664562,"['food', 'point_of_interest', 'establishment']"
Orthos v/Ole Rebner,55.7073836,12.5659454,"['point_of_interest', 'establishment']"
Bentsen Signs & Advertising,55.70988269999999,12.5683809,"['point_of_interest', 'store', 'establishment']"
Grundlyd v/Morten Dalsgaard,55.70967899999999,12.5690251,"['point_of_interest', 'establishment']"
Official iPhone Unlock - IMEI Unlock service,55.70796190000001,12.5723835,"['point_of_interest', 'establishment']"
Karina Lange Udviklingscoach,55.7077378,12.5657402,"['point_of_interest', 'establishment']"
Gitte Jungersen,55.7098243,12.5689769,"['point_of_interest', 'establishment']"
Psykoterapi (Petti Kirkeby Ravn),55.7099299,12.5694577,"['health', 'point_of_interest', 'establishment']"
Kesch Design v/Kasper Schwartz,55.70800200000001,12.565601,"['point_of_interest', 'establishment']"
Dansk Annoncørforening,55.709406,12.566892,"['point_of_interest', 'establishment']"
Isc A/S Rådgivende Ingeniører,55.7095035,12.5709161,"['general_contractor', 'point_of_interest', 'establishment']"
Artcoustic ApS,55.7095035,12.5709161,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
Inovator,55.70919259999999,12.5664241,"['point_of_interest', 'establishment']"
