name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Korfuvej.rent.a.room,55.6539019,12.621957,"['lodging', 'point_of_interest', 'establishment']"
Amager Hospital,55.65495840000001,12.6203728,"['hospital', 'health', 'point_of_interest', 'establishment']"
A/B Korfuvej 3 - 3a,55.6537965,12.6200119,"['point_of_interest', 'establishment']"
De Grønne Pigespejdere I Sundkirken,55.6542378,12.622487,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Semimatik ApS,55.65341999999999,12.623118,"['point_of_interest', 'establishment']"
Ama'r Pizzaria & Burgerbar,55.654656,12.62278,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Ruth Campau,55.6546631,12.6224372,"['point_of_interest', 'establishment']"
Københavns Kommunes Integrerede Institution,55.65348520000001,12.6246255,"['point_of_interest', 'establishment']"
Kontinensforeningen,55.65555699999999,12.624158,"['point_of_interest', 'establishment']"
JWDance,55.65395780000001,12.6223738,"['point_of_interest', 'establishment']"
Danish Installation Service,55.6546164,12.6235614,"['point_of_interest', 'establishment']"
Territorium ApS,55.655465,12.623593,"['point_of_interest', 'establishment']"
Hagelund Bente,55.653653,12.622233,"['point_of_interest', 'establishment']"
Billedkunstner Michael Mørk,55.6546631,12.6224372,"['point_of_interest', 'establishment']"
Vuggestuen Urtepotten,55.655158,12.622133,"['point_of_interest', 'establishment']"
Weiles Fotografi v/Søren Weile,55.655973,12.623147,"['point_of_interest', 'establishment']"
MiaByg Entreprise,55.65388,12.6233989,"['painter', 'electrician', 'general_contractor', 'point_of_interest', 'establishment']"
"Prøvetagningsambulatoriet, Amager Hospital",55.6555237,12.6216918,"['hospital', 'health', 'point_of_interest', 'establishment']"
København S,55.6508754,12.5991891,"['sublocality_level_1', 'sublocality', 'political']"
Church of Jesus Christ of Latter-day Saints - Amager,55.653499,12.621964,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Friends Of Shamayita Math,55.653653,12.622233,"['point_of_interest', 'establishment']"
Samvirkende Boligselskaber Afdeling 3053 Livornoparken,55.65386160000001,12.6261359,"['point_of_interest', 'establishment']"
Frej Lotus,55.6533583,12.6229685,"['point_of_interest', 'establishment']"
Tcd Teknologi ApS,55.65662,12.625592,"['point_of_interest', 'establishment']"
Eksperimentalbørnehaven,55.653164,12.624796,"['point_of_interest', 'establishment']"
Amager & Sundby Ligkistemagasin,55.65437379999999,12.6207577,"['funeral_home', 'point_of_interest', 'establishment']"
Goldschmidts Akademi,55.6538794,12.6268227,"['point_of_interest', 'establishment']"
Biberkopf v/Jesper Søholm,55.6538794,12.6268227,"['point_of_interest', 'establishment']"
Vaca-Præg v/Carl V Jensen,55.6567978,12.6225704,"['point_of_interest', 'establishment']"
