name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Gucci,55.67944519999999,12.5813093,"['jewelry_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
Urban Outfitters,55.6795269,12.5815699,"['clothing_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
165,55.67746589999999,12.5815042,"['point_of_interest', 'establishment']"
A/B Samosvej 28,55.6786489,12.5810032,"['point_of_interest', 'establishment']"
Kong Hans Kælder,55.67886229999999,12.5840885,"['restaurant', 'food', 'point_of_interest', 'establishment']"
BOSS Shop,55.6794028,12.5805661,"['clothing_store', 'shoe_store', 'point_of_interest', 'store', 'establishment']"
Nespresso Boutique København,55.679948,12.582047,"['food', 'point_of_interest', 'store', 'establishment']"
Illums Bolighus,55.6788744,12.5786292,"['store', 'point_of_interest', 'establishment']"
Levi's® Amagertorv,55.678662,12.5786831,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Danske Bank,55.6785088,12.5853465,"['bank', 'finance', 'point_of_interest', 'establishment']"
Live in historic centre,55.6779552,12.582382,"['lodging', 'point_of_interest', 'establishment']"
L'etoile ApS,55.67924799999999,12.579246,"['point_of_interest', 'establishment']"
Sand Copenhagen,55.67948879999999,12.5817343,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Royal Copenhagen Flagship Store,55.67895799999999,12.57905,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
Thorvaldsens Museum,55.67674719999999,12.5783916,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
Café Norden,55.67891119999999,12.5799328,"['cafe', 'food', 'point_of_interest', 'establishment']"
The Dubliner,55.6786816,12.5789267,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Stork Fountain,55.67883560000001,12.579573,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"
Indre By,55.6800939,12.5800086,"['sublocality_level_2', 'sublocality', 'political']"
K-Bar,55.67791839999999,12.5807255,"['bar', 'point_of_interest', 'establishment']"
Summerbird Chocolaterie,55.6792223,12.5845921,"['food', 'point_of_interest', 'store', 'establishment']"
Ved Stranden 10,55.6773037,12.5816045,"['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Humac,55.6792241,12.5834705,"['electronics_store', 'point_of_interest', 'store', 'establishment']"
"Nikolaj, Copenhagen Contemporary Art Center",55.678644,12.5815874,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
Stromma Canal Tours Copenhagen,55.6779744,12.5803712,"['travel_agency', 'point_of_interest', 'establishment']"
Georg Jensen,55.6789753,12.5793286,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
Birger Christensen,55.67953989999999,12.5819191,"['clothing_store', 'shoe_store', 'point_of_interest', 'store', 'establishment']"
Toga Vinstue,55.678769,12.580237,"['bar', 'point_of_interest', 'establishment']"
Cafe Europa,55.67866909999999,12.5793745,"['cafe', 'food', 'point_of_interest', 'establishment']"
Restaurant Maven,55.6784917,12.5816056,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Stender Strøget,55.67915439999999,12.5809949,"['hair_care', 'point_of_interest', 'establishment']"
Lån & Spar | Højbro Plads,55.678486,12.5802798,"['bank', 'finance', 'point_of_interest', 'establishment']"
Church of Holmen,55.6766342,12.5836016,"['church', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']"
Krogs Fiskerestaurant,55.67775719999999,12.5784942,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Plaza Ure Og Smykker,55.67926550000001,12.5834299,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
Disney Store,55.6789077,12.5788581,"['point_of_interest', 'store', 'establishment']"
Peak Performance,55.6797868,12.582653,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Q-Park Magasin du Nord,55.6788983,12.5832245,"['parking', 'storage', 'point_of_interest', 'establishment']"
Tommy Hilfiger,55.6797712,12.5825944,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Foot Locker,55.67864609999999,12.5784163,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
Mulberry,55.67998929999999,12.5836857,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Utroskab,55.6788161,12.5778511,"['point_of_interest', 'establishment']"
Guinness World Records Museum,55.6802207,12.5838497,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
Hviids Vinstue,55.6797944,12.5848278,"['bar', 'food', 'point_of_interest', 'establishment']"
McDonald's,55.679581,12.584783,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Klint,55.6788328,12.5805919,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
Mads Nørgaard,55.6786773,12.5780985,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Kunst og Køkkentøj,55.6803487,12.5826881,"['book_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
Max Mara Copenhagen,55.678935,12.5788284,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Madklubben Grill,55.6803955,12.5805334,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Heartbreak Model Management,55.6779691,12.5806994,"['point_of_interest', 'establishment']"
Max Mara,55.68009499999999,12.5840832,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Tommy Hilfiger,55.6793976,12.5848038,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Napcentre Europe ApS,55.6792562,12.5793439,"['point_of_interest', 'establishment']"
Poul Stig Briller,55.6799561,12.5830735,"['health', 'point_of_interest', 'store', 'establishment']"
Zirup,55.677903,12.57721,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Nordisk Ministerråds Sekretariat / Nordic Council of Ministers,55.6777798,12.581036,"['point_of_interest', 'establishment']"
119,55.67989499999999,12.579242,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
EDC Poul Erik Bech,55.67839840000001,12.5835678,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']"
LokalBolig Amager ApS,55.66621300000001,12.6124759,"['real_estate_agency', 'point_of_interest', 'establishment']"
Universal Bilpleje,55.6683426,12.6157191,"['car_wash', 'point_of_interest', 'establishment']"
Copenhagen Records,55.6676594,12.6126162,"['point_of_interest', 'establishment']"
Rejsebixen,55.666984,12.614779,"['travel_agency', 'point_of_interest', 'establishment']"
Whammy Bar,55.6656,12.613522,"['bar', 'point_of_interest', 'establishment']"
Københavns Politi. Eftersøgningsafdelingen,55.668122,12.6149,"['police', 'point_of_interest', 'establishment']"
CPHVVS,55.667767,12.612058,"['general_contractor', 'point_of_interest', 'establishment']"
Nørrebro Karate Club,55.666172,12.613622,"['health', 'point_of_interest', 'establishment']"
BIL,55.66635300000001,12.611063,"['point_of_interest', 'establishment']"
Mozz a/S,55.66790040000001,12.6131656,"['point_of_interest', 'establishment']"
Andyop v/Andreas Seebach,55.66748,12.614395,"['point_of_interest', 'establishment']"
Studio Jytte Høy,55.66799619999999,12.6134932,"['point_of_interest', 'establishment']"
Budo & Karate klubben Kokusai SougoBudo Renmei Danmark,55.6661935,12.6109127,"['health', 'point_of_interest', 'establishment']"
Sportexcel,55.667085,12.6121579,"['physiotherapist', 'health', 'point_of_interest', 'establishment']"
David Lewis Designers ApS,55.6677413,12.6131041,"['point_of_interest', 'establishment']"
Capoeira Senzala Amager,55.666051,12.613166,"['health', 'point_of_interest', 'establishment']"
Mismo Aps,55.66803960000001,12.6128404,"['point_of_interest', 'establishment']"
Piccolo Mondo,55.66650130000001,12.6127822,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
København S,55.6508754,12.5991891,"['sublocality_level_1', 'sublocality', 'political']"
Nordisk Brød,55.666456,12.612535,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
Indian Ocean,55.666379,12.613323,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Copenhagen Music,55.6676622,12.6130359,"['point_of_interest', 'establishment']"
KBHfotostudie,55.6676424,12.612632,"['point_of_interest', 'establishment']"
N & P ApS,55.666324,12.613064,"['point_of_interest', 'establishment']"
Mater A/S,55.667679,12.6128389,"['point_of_interest', 'establishment']"
Kbhfilm,55.667679,12.6128389,"['point_of_interest', 'establishment']"
Gunnar Madsen Smagelokale,55.6677006,12.6132144,"['store', 'point_of_interest', 'establishment']"
Brophy Bookings,55.667717,12.613065,"['point_of_interest', 'establishment']"
The Market v/Brian Johansen,55.6677413,12.6131041,"['point_of_interest', 'establishment']"
Guts & Glory ApS,55.666311,12.613492,"['point_of_interest', 'establishment']"
Holmbladet,55.6663429,12.6121267,"['bar', 'point_of_interest', 'establishment']"
Bs Distribution ApS,55.667795,12.61347,"['point_of_interest', 'establishment']"
California Sports ApS - Lager,55.66763989999999,12.6119695,"['point_of_interest', 'establishment']"
Elk Film Aps,55.667838,12.613553,"['point_of_interest', 'establishment']"
A/B Valentinergården,55.666224,12.612153,"['point_of_interest', 'establishment']"
Ahlstrand ApS,55.66795,12.613118,"['point_of_interest', 'establishment']"
Simon Ask Consulting v/Simon Ask Ulsnes,55.66667899999999,12.611394,"['point_of_interest', 'establishment']"
Burger House Pizza,55.666135,12.612223,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Gliese Entreprise A/S,55.667875,12.613811,"['home_goods_store', 'general_contractor', 'point_of_interest', 'store', 'establishment']"
Bicycle Innovation Lab,55.667106,12.611202,"['point_of_interest', 'establishment']"
Rue de Femme design office / showroom,55.667996,12.613493,"['point_of_interest', 'establishment']"
Angela Romero Communication,55.66627500000001,12.611675,"['point_of_interest', 'establishment']"
Andreas Emenius,55.666669,12.614782,"['point_of_interest', 'establishment']"
Soupanatural ApS,55.666704,12.61084,"['point_of_interest', 'establishment']"
Ledernes MødeCenter,55.6676898,12.6113756,"['point_of_interest', 'establishment']"
EGN,55.66814189999999,12.6135507,"['point_of_interest', 'establishment']"
Prismen,55.666447,12.6110159,"['point_of_interest', 'establishment']"
Protein Baker,55.66741,12.610727,"['point_of_interest', 'establishment']"
Fakta,55.66679969999999,12.6153817,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Canopy Sound I/S,55.66566599999999,12.612494,"['point_of_interest', 'establishment']"
Boligmægleren - Amager and Christianshavn,55.66594899999999,12.611423,"['real_estate_agency', 'point_of_interest', 'establishment']"
Pockz I/S,55.6663982,12.6152558,"['point_of_interest', 'establishment']"
AO Håndværkerbutik,55.6683171,12.6140159,"['point_of_interest', 'store', 'establishment']"
Kasper Winther Ambus,55.6657178,12.6141465,"['point_of_interest', 'establishment']"
Dahlquist Pejsecenter,55.6670928,12.6100903,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
Sanistål A/S,55.668122,12.6149,"['point_of_interest', 'establishment']"
Morten Thomsen,55.665454,12.612665,"['point_of_interest', 'establishment']"
Pink Wheels,55.66900090000001,12.6151888,"['car_rental', 'point_of_interest', 'establishment']"
Atlantic Båd- og Autosadelmagere ApS,55.66855839999999,12.611244,"['point_of_interest', 'establishment']"
Biludlejning & Forsikring,55.66900090000001,12.6151888,"['point_of_interest', 'establishment']"
IM Autoskadecenter ApS,55.66835829999999,12.6157931,"['car_repair', 'point_of_interest', 'establishment']"
Kb Skilte A/S -city Neon,55.668508,12.6167339,"['point_of_interest', 'store', 'establishment']"
Im Autolakering ApS,55.66853810000001,12.6157147,"['car_repair', 'point_of_interest', 'establishment']"
Stryhn Henning,55.66843100000001,12.616329,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
Den Selvejende Institution Børnehaven Tjørnerækken,55.66731,12.616512,"['school', 'point_of_interest', 'establishment']"
Firma Jan Wessel Petersen,55.66843100000001,12.616329,"['point_of_interest', 'establishment']"
GS Byg ApS,55.66836730000001,12.6152118,"['general_contractor', 'point_of_interest', 'establishment']"
Ejendomsselskabet Højbro A/S,55.6690238,12.6155477,"['point_of_interest', 'establishment']"
Michael Schultz Art Fabrication,55.66857109999999,12.6162981,"['point_of_interest', 'establishment']"
Salon Merrild,55.6672799,12.6166381,"['hair_care', 'point_of_interest', 'establishment']"
Kyhl Design Center ApS,55.66900090000001,12.6151888,"['point_of_interest', 'establishment']"
Amager Dækcenter,55.6687592,12.6176882,"['car_repair', 'point_of_interest', 'store', 'establishment']"
Hernovs Forlag,55.66871699999999,12.61303,"['point_of_interest', 'establishment']"
City Space ApS,55.66871699999999,12.61303,"['real_estate_agency', 'point_of_interest', 'establishment']"
Janus Høm Production,55.66871699999999,12.61303,"['point_of_interest', 'establishment']"
FLYTTEKASSER.NU,55.66868900000001,12.612455,"['point_of_interest', 'establishment']"
Effekt Holding ApS,55.66868900000001,12.612455,"['point_of_interest', 'establishment']"
Nh Productions,55.667471,12.615938,"['point_of_interest', 'establishment']"
Quantum sails copenhagen,55.6691217,12.6148008,"['point_of_interest', 'establishment']"
KiteDanmark,55.6690836,12.614998,"['point_of_interest', 'store', 'establishment']"
Katrine Kanstrup,55.66843100000001,12.616329,"['point_of_interest', 'establishment']"
Aabille Group v/Jesper Aabille,55.66843100000001,12.616329,"['point_of_interest', 'establishment']"
Blyme Brolægning & Entreprise,55.66692399999999,12.615887,"['park', 'general_contractor', 'point_of_interest', 'establishment']"
Avii,55.666946,12.616048,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Eapn.Dk,55.66712769999999,12.6174675,"['point_of_interest', 'establishment']"
Mh Entreprise v/Martin Hansen,55.667598,12.616824,"['point_of_interest', 'establishment']"
Praque Studios,55.668508,12.6167339,"['point_of_interest', 'establishment']"
Designsmeden /V Jari Paivinen,55.668508,12.6167339,"['point_of_interest', 'establishment']"
DataKons IT and Financial Management Ltd.,55.667025,12.616406,"['accounting', 'finance', 'point_of_interest', 'establishment']"
Ny Bremenshus,55.666834,12.615895,"['point_of_interest', 'establishment']"
Designsmeden ApS,55.66853140000001,12.6170213,"['point_of_interest', 'establishment']"
De Fedtede Fingre Garage,55.66880699999999,12.6167578,"['car_repair', 'point_of_interest', 'establishment']"
Groupm Denmark,55.6678142,12.6187678,"['point_of_interest', 'establishment']"
Maersk Tankers,55.6678919,12.6192858,"['point_of_interest', 'establishment']"
