FID,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato,wkb_geometry
parkomat.1,467,152,P-info,1396,Rød,IB,Dyrkøb,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.572665592562222 55.67900255632159)
parkomat.2,466,153,Betalingsautomat,1396,Rød,IB,Dyrkøb,OF/3,,2000160,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.572937473827633 55.67921596332571)
parkomat.3,470,156,Betalingsautomat,0148,Rød,IB,H.C. Andersens Boulevard,9,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.566107871340106 55.67782743364014)
parkomat.4,471,157,Betalingsautomat,3348,Rød,IB,Jarmers Plads,7,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56557653640952 55.678517044686515)
parkomat.5,472,158,P-info,5220,Rød,IB,Nørre Voldgade,OF/6,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.566308187377208 55.67917067888057)
parkomat.6,473,159,P-info,1276,Rød,IB,Dantes Plads,4,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.57341988048724 55.67366680944171)
parkomat.7,462,160,Betalingsautomat,1276,Rød,IB,Dantes Plads,OF/5,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.57324398929724 55.67338587282356)
parkomat.8,618,1002,Betalingsautomat,5960,Blå,IN,Rosenørns Allé,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555178540169926 55.681753235913526)
parkomat.9,619,1003,P-info,5960,Blå,IN,Rosenørns Allé,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555202382958294 55.68159305567384)
parkomat.10,620,1004,P-info,3448,Blå,IN,Julius Thomsens Gade,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554328503728506 55.68212558877428)
parkomat.11,621,1005,Betalingsautomat,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554374550617656 55.68257021180431)
parkomat.12,622,1006,P-info,2852,Blå,IN,Herman Triers Plads,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55558160320977 55.682205626059655)
parkomat.13,623,1007,Betalingsautomat,3732,Blå,IN,Kleinsgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556026066209979 55.6820636887889)
parkomat.14,624,1008,P-info,2852,Blå,IN,Herman Triers Plads,2,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555815709540363 55.68254933624246)
parkomat.15,625,1009,P-info,3448,Blå,IN,Julius Thomsens Gade,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55501498960096 55.683121637298385)
parkomat.16,626,1010,P-info,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554945658988423 55.68340418293578)
parkomat.17,627,1011,Betalingsautomat,8636,Blå,IN,Åboulevard,11B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55588853147193 55.6831208604956)
parkomat.18,628,1012,P-info,8636,Blå,IN,Åboulevard,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556823980924833 55.68295806824195)
parkomat.19,629,1013,Betalingsautomat,8636,Blå,IN,Åboulevard,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554256380154458 55.68485777703243)
parkomat.20,630,1014,Betalingsautomat,2304,Blå,IN,Griffenfeldsgade,35,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552815105786639 55.68615457521039)
parkomat.21,631,1015,P-info,3920,Blå,IN,Korsgade,37,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555162638684573 55.68618867199518)
parkomat.22,632,1016,Betalingsautomat,3920,Blå,IN,Korsgade,25,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556251386948071 55.685769934903654)
parkomat.23,633,1017,Betalingsautomat,3920,Blå,IN,Korsgade,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557737914777658 55.68517955105527)
parkomat.24,634,1018,P-info,3920,Blå,IN,Korsgade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55862732136273 55.684838787226155)
parkomat.25,635,1019,P-info,0628,Blå,IN,Blågårdsgade,30,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556524219690026 55.685108240672136)
parkomat.26,636,1020,Betalingsautomat,0628,Blå,IN,Blågårdsgade,46,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555817716046278 55.68453884984522)
parkomat.27,637,1021,Betalingsautomat,6628,Blå,IN,Smedegade,OF/9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5566967056133 55.68429066311128)
parkomat.28,638,1022,P-info,772,Blå,IN,,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556910836438428 55.68362710222548)
parkomat.29,639,1023,P-info,6628,Blå,IN,Smedegade,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557734348532946 55.68374387126576)
parkomat.30,640,1024,P-info,8188,Blå,IN,Wesselsgade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56035511019172 55.68592928520745)
parkomat.31,641,1025,Betalingsautomat,8188,Blå,IN,Wesselsgade,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559577122137641 55.68525873096927)
parkomat.32,642,1026,Betalingsautomat,7416,Blå,IN,Thorupsgade,8,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558681228744534 55.68408688022357)
