FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,wkb_geometry
trafiktaelling.1,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,42650,"3,8",49900,55900,21601,"1,2",22200,26400,,,,,,,,,,,20160921,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UJpxEGxaCg.pdf,3.79999995,1.20000005,1016,,,,,POINT (12.565491397230991 55.67796084860272)
trafiktaelling.2,3,Bredgade,nord for Kongens Nytorv,3 eller 4,3,Andre faste tællinger,9946,"4,6",11600,13000,6261,"2,4",6400,7600,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/txHU3EqDSV.pdf,4.5999999,2.4000001,145,,,,,POINT (12.587600106423727 55.68116360238515)
trafiktaelling.3,4,Christian d. IV's Bro,syd for Niels Juels Gade,ingen,3,Andre faste tællinger,13016,"0,3",15200,17100,4510,"2,6",4600,5500,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cpXRg96fo9.pdf,0.30000001,2.5999999,41,,,,,POINT (12.587161874224892 55.67576459605928)
trafiktaelling.4,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4274,"14,8",5000,5600,34956,"3,5",36000,42600,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Kn2EXKMe2f.pdf,14.80000019,3.5,74,"1,7",487,"1,4",18,POINT (12.563784830098982 55.68673054140091)
trafiktaelling.5,6,Kampmannsgade,ud for søerne,,2,Søsnittet,4691,"3,5",5500,6100,8203,"2,5",8400,10000,,,,,,,,,,,20190904,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/IDf78Si7t8.pdf,3.5,2.5,59,"1,3",77,"0,9",9,POINT (12.557917540101617 55.67797681383055)
trafiktaelling.6,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,27215,"3,8",31800,35700,3417,"4,2",3500,4200,,,,,,,,,,,20190613,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/QIiYRCTkNQ.pdf,3.79999995,4.19999981,799,"3,8",,,,POINT (12.510990440718215 55.65050283197625)
trafiktaelling.7,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,11517,"2,0",13500,15100,1787,"4,6",1800,2200,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/hmqv1DfCNO.pdf,2,4.5999999,163,"1,4",,,27,POINT (12.599845636263538 55.63848509063259)
trafiktaelling.8,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,,POINT (12.572503733886563 55.6759724596037)
trafiktaelling.9,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,,POINT (12.572683528145083 55.683211342280345)
trafiktaelling.10,12,Frederiksborggade,sydøst for Søtorvet,50,3,Andre faste tællinger,3637,"14,0",4300,4800,17219,"3,1",17700,21000,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/xpVL5eDw4D.pdf,14,3.0999999,510,"1,9",302,"1,8",13,POINT (12.566369474794929 55.685708418286154)
trafiktaelling.11,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,9282,5,10900,12200,5806,"1,7",6000,7100,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iOWWNXS442.pdf,5,1.70000005,119,"1,3",,,32,POINT (12.525153439020626 55.72710588532442)
trafiktaelling.12,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,16120,4,18900,21100,2290,"2,5",2400,2800,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/OyX2bXYX7J.pdf,4,2.5,251,4,,,11,POINT (12.467131018190686 55.71336181629868)
trafiktaelling.13,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12932,"4,5",15100,16900,2744,"2,3",2800,3300,,,,,,,,,,,20190508,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/mTjpjqZXKc.pdf,4.5,2.29999995,261,"4,5",,,30,POINT (12.501067806935957 55.64241479721176)
trafiktaelling.14,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3659,"4,7",4300,4800,12222,"2,6",12600,14900,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/y87joygBU8.pdf,4.69999981,2.5999999,53,"4,7",111,"0,9",18,POINT (12.566545050457881 55.68641228608003)
trafiktaelling.15,18,Grøndals Parkvej,nord for Peter Bangs Vej,ingen,3,Andre faste tællinger,13536,"3,2",15800,17700,2174,"2,4",2200,2700,,,,,,,,,,,20190523,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZG6Asd6CAr.pdf,3.20000005,2.4000001,181,"1,3",,,20,POINT (12.487389543509753 55.677771624338185)
trafiktaelling.16,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,41952,"3,6",49100,55000,25035,"2,3",25800,30500,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/kMfyCuTPRt.pdf,3.5999999,2.29999995,685,"1,6",173,"0,7",145,POINT (12.559080062995465 55.681775659145515)
trafiktaelling.17,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,52047,"1,6",60900,68200,5317,"1,4",5500,6500,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/84t0Qk69N3.pdf,1.60000002,1.39999998,561,"1,1",,,177,POINT (12.50390557494531 55.7134171158951)
trafiktaelling.18,21,Hillerødgade,vest for Borups Allé,89 eller 112,3,Andre faste tællinger,14553,"3,3",17000,19100,4409,"2,5",4500,5400,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n2Qff6aoz5.pdf,3.29999995,2.5,331,,,,,POINT (12.524266152957384 55.69677357124775)
trafiktaelling.19,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,14639,"3,3",17100,19200,14817,"2,5",15300,18100,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/JkxudEJOwC.pdf,3.29999995,2.5,211,"1,4",102,"0,7",23,POINT (12.548166594681598 55.693760453842565)
trafiktaelling.20,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,29514,"2,5",34500,38700,1547,"2,5",1600,1900,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/LQEyMAfxgo.pdf,2.5,2.5,428,"1,5",,,60,POINT (12.468280663263844 55.69149076083171)
trafiktaelling.21,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,30384,"5,3",35500,39800,3326,"2,5",3400,4100,,,,,,,,,,,20190911,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jWE2SI5l9e.pdf,5.30000019,2.5,1026,"3,4",82,"2,5",480,POINT (12.569969800636589 55.66710839094156)
trafiktaelling.22,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19598,"6,2",22900,25700,21451,"2,8",22100,26200,,,,,,,,,,,20190918,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rbHvcjaGoR.pdf,6.19999981,2.79999995,368,"1,9",278,"1,3",,POINT (12.586998878059132 55.67489294070491)
trafiktaelling.23,27,Kristen Bernikows Gade,nordvest for Østergade,2,3,Andre faste tællinger,3979,"5,5",4700,5200,15755,"2,2",16200,19200,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9Zw61sXjXY.pdf,5.5,2.20000005,126,,,,,POINT (12.582295655249021 55.67998567768585)
trafiktaelling.24,29,Langebro,vest for Amager Boulevard,,2,Søsnittet,43251,"4,1",50600,56700,18382,"2,1",18900,22400,,,,,,,,,,,20190917,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/piISSAPoIm.pdf,4.0999999,2.0999999,943,"2,2",199,"1,1",193,POINT (12.578524713360443 55.67042883796164)
